Time,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
G20,4323960216,4363572942,4403733216,4444180921,4483806528,4519624729,4556834925,4594646713,4632240533,4669929831,4706471371,4741896267,4776332563,4809944671
OECD - Total,1198664295,1207224137,1216429900,1225897618,1234509706,1243038933,1249055540,1256390205,1263936688,1272145740,1279863664,1287731405,1294830176,1301969697
World,6542159383,6623847913,6706418593,6789771253,6873741054,6958169159,7043008586,7128176935,7213426452,7298453033,7383008820,7466964280,7550262101,7632819325
  Argentina,38733406,39127239,39529440,39940234,40359828,40788453,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502
  Brazil,184991143,187061610,189038268,191010274,192980905,194890682,196603732,198314934,200004188,201717541,203475683,205156587,206804741,208494900
  Bulgaria,7658972,7601022,7545338,7492561,7444443,7395599,7348328,7305888,7265115,7223938,7177991,7127822,7075947,7025037
  China (People's Republic of),1321623490,1329209094,1336800506,1344415227,1352068091,1359755102,1367480264,1375198619,1382793212,1390110388,1397028553,1403500365,1409517397,1415045928
  Colombia,42888592,43405956,43926929,44451147,44978832,45509584,46044601,46581823,47121089,47661787,48203405,48747708,49291609,49834240
  Costa Rica,4215248,4278656,4340390,4404090,4469337,4533894,4592149,4652459,4713168,4773130,4832234,4890379,4947490,5003402
  Croatia,4311674,4313016,4312751,4310884,4306315,4296353,4282913,4269063,4254469,4238389,4203604,4174349,4124531,4080666
  Cyprus,738541,750964,767128,786630,808038,829444,850882,863945,861938,852511,847662,851559,859520,869006
  India,1144118674,1161977719,1179681239,1197146906,1214270132,1230980691,1247236029,1263065852,1278562207,1293859294,1309053980,1324171354,1339180127,1354051854
  Indonesia,226712730,229838202,232989141,236159276,239340478,238518800,241990700,245425200,248818100,252164800,255461700,258705000,261890900,265015300
  Malta,403825,405311,406725,409375,412475,414512,416263,420027,425966,434551,445053,455355,468005,483793
  Romania,21319673,21193749,20882980,20537848,20367437,20246798,20147657,20060182,19988694,19916451,19822250,19706529,19588146,19471332
  Russia,143113885,142487259,142114903,141956413,141909248,142389969,142960911,143201721,143506995,143819657,144096881,144342400,144496738,144491104
  Saudi Arabia,23905654,24578301,25252569,25940770,26661492,27425676,28238020,29086357,29944476,30776722,31557144,31787580,32612641,33413660
  Singapore,3467814,3525894,3583082,3642659,3733876,3771721,3789251,3818205,3844751,3870739,3902690,3933559,3965796,3994283
  South Africa,47268914,47839908,48476016,49176550,49928233,50724112,51550684,52409724,53282289,54166787,55055626,55946872,56837474,57725606
